hrishikesh;trayodashi;G;bhaktivinod-thakur-appearance;<a href="http://scsmath.com/events/calendar_events/09_BhaktivinodThakur_app.html"><b>Appearance of Srila Sachchidananda Bhakti Vinod Thakur.</b></a>;<b>День явления Шрилы Сат-чит-ананды Бхактивинода Тхакура.</b>
hrishikesh;chaturdashi;G;haridas-thakur-disappearance;<a href="http://scsmath.com/events/calendar_events/09_Haridas_Thakur-disap.html"><b>Disappearance of Srila Haridas Thakur.</b></a>;День ухода <b>Шрилы Харидаса Тхакура</b>.
hrishikesh;purnima;G;vishvarupa-mahotsava;<a href="http://scsmath.com/events/calendar_events/09_VisvarupMahotsav.html">Vishvarup Mahotsav.</a> End of month-long festival at Nabadwip, Sri Chaitanya Saraswat Math.;Вишварупа Махотсав. Завершение ежемесячного фестиваля в Навадвипе.
padmanabha;dvitiya;K;;Disappearance of Tridandi Swami Srimad Bhakti Vilas Tirtha Maharaj.;День ухода Триданди Свами Шримад Бхакти Вилас Тиртхи Махараджа.
padmanabha;pratipad;G;acharya-maharaj-appearance;Appearance festival of <a href="http://scsmath.com/events/docs/acharya_maharaj.html">Tridnadi Swami Srimad Bhakti Nirmal Acharya Maharaj</a>.;День явления <a href="https://harekrishna.ru/2021/05/ukhod-shrily-b-n-achari-makharadzha-10-maya-2021-goda">Триданди Свами Шрилы Бхакти Нирмала Ачарьи Махараджа</a>.
padmanabha;tritiya;G;;Disappearance of Sriyukta Radharani Devi Chaudurani.;День ухода Шриюкты Радхарани Деви Чаудурани.
padmanabha;chaturti;G;;Disappearance of Tridandi Swami Sripad Bhakti Dayita Damodar Maharaj.;День ухода Триданди Свами Шрипада Бхакти Дайита Дамодара Махараджа.
padmanabha;dashami;G;;<a href="http://scsmath.com/events/calendar_events/10_Ramachandra-Madhvacharya.html">Vijay Utsav of Sri Ramachandra. Appearance of Sri Madhva Acharya</a>;Виджай Утсав Шри Рамачандры. День явления Шрилы Мадхвы Ачарьи.
padmanabha;dvadashi;G;;Disappearance of <a href="http://scsmath.com/events/calendar_events/10_RaghunathDas-RaghunathBhatta-Disap.html">Srila Raghunath Das Goswami, Srila Raghunath Bhatta Goswami,</a> and <a href="http://scsmath.com/events/calendar_events/10_KrsnaDasKaviraj-disap.html">Srila Krishnadas Kaviraj Goswami.</a>;День ухода Шрилы Рагхунатха даса Госвами, Шрилы Рагхунатха Бхатты Госвами и Шрилы Кришнадаса Кавираджа Госвами.
padmanabha;purnima;G;;Sharadiya Rasa Yatra of Sri Krishna. Disappearance of Srila Murari Gupta. <a href="http://scsmath.com/events/calendar_events/10_Karttik.html">Beginning of Urja Vrata, Damodar Vrata, Kartik Vrata and Niyam-seva Vrata</a> if begun from the purnima day, as followed in Sri Chaitanya Saraswat Math.;Шарадия Раса Ятра Шри Кришны. День ухода Шрилы Мурари Гупты. Начало Урджа враты, Дамодар враты, Картика враты и Нияма-сева враты, если <em>врата</em> начата в Пурниму, как это принято в Шри Чайтанья Сарасват Матхе.
damodar;tritiya;K;;Disappearance of Tridandi Swami Srimad Bhakti Srirup Puri Maharaj.;День ухода Триданди Свами Шримад Бхакти Шрирупа Пури Махараджа.
damodar;panchami;K;;<a href="http://scsmath.com/events/calendar_events/10_NarottamDasThakurDisapearance.html">Disappearance of Srila Narottam Das Thakur.</a>;День ухода Шрилы Нароттама даса Тхакура.
damodar;shashthi;K;;<a href="http://scsmath.com/events/calendar_events/10_Jajavar_Maharaj.html">Disappearance of Srila Bhakti Vichar Jajavar Maharaj.</a>;День ухода Триданди Свами Шримад Бхакти Вичара Джаджавара Махараджа.
damodar;ashtami;K;gurudev-sannyasa-day;Bahulashtami. Manifestation day of Sri Radha Kunda. <a href="http://scsmath.com/events/calendar_events/10_SrilaGovindaMjs-SannyasDay.html">Sannyas day of Srila Bhakti Sundar Govinda Dev-Goswami Maharaj.</a>;Бахулаштами. День явления Шри Радха-кунды. День санньясы Шрилы Бхакти Сундара Говинды Дев-Госвами Махараджа.
